PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=476 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=17.7 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=14.5 ms
64 bytes from 10.0.0.2: icmp_seq=480 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=481 ttl=64 time=8.71 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=6.96 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=7.30 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=8.44 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=9.33 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=8.48 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=12.2 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=7.30 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=9.46 ms
64 bytes from 10.0.0.2: icmp_seq=499 ttl=64 time=7.77 ms
64 bytes from 10.0.0.2: icmp_seq=501 ttl=64 time=38.1 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=506 ttl=64 time=7.53 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=9.77 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=8.32 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=9.56 ms
64 bytes from 10.0.0.2: icmp_seq=514 ttl=64 time=9.70 ms
